iter	Logloss
0	0.6594819997
1	0.6295532746
2	0.6036161748
3	0.5822595947
4	0.5636745564
5	0.5478975779
6	0.5331422673
7	0.5212600166
8	0.5105184001
9	0.500712844
10	0.4932472578
11	0.4860735207
12	0.4797485677
13	0.4736162259
14	0.4685347358
15	0.4634065321
16	0.4589356365
17	0.4549270383
18	0.4514228642
19	0.4477754396
20	0.4446792275
21	0.442063915
22	0.4392288986
23	0.4372015629
24	0.4348410006
25	0.4330252452
26	0.4306247713
27	0.4292739764
28	0.4277859693
29	0.4261644089
30	0.4247904787
31	0.4235726967
32	0.4222540018
33	0.4213630872
34	0.420462822
35	0.4195850855
36	0.4184887527
37	0.4177385789
38	0.4171049719
39	0.4164003422
40	0.4153145919
41	0.4146697521
42	0.4142080629
43	0.4137746577
44	0.4130579989
45	0.4125099376
46	0.4118152276
47	0.4112518372
48	0.4108499606
49	0.4102263773
50	0.4097341746
51	0.4092725219
52	0.4088799293
53	0.4085663129
54	0.4079760341
55	0.4076182257
56	0.4072980221
57	0.4069627664
58	0.4065635314
59	0.4063478928
60	0.4060538828
61	0.405741752
62	0.4053611836
63	0.4049360835
64	0.4046255225
65	0.4042824257
66	0.4040784803
67	0.403541909
68	0.4033425913
69	0.4029996641
70	0.4028209851
71	0.4025788348
72	0.402246735
73	0.4019471262
74	0.4017078971
75	0.4014049558
76	0.4011607804
77	0.4008833959
78	0.4007271713
79	0.4006041851
80	0.4002615009
81	0.399992063
82	0.3997313308
83	0.3995568683
84	0.3992524316
85	0.3990971611
86	0.3989023337
87	0.3987969661
88	0.3984839766
89	0.3983621625
90	0.3981688498
91	0.397955654
92	0.3977407201
93	0.3976181427
94	0.397341485
95	0.3971594895
96	0.3969026142
97	0.3967077895
98	0.3965754993
99	0.396422896
