iter	Passed	Remaining
0	3	341
1	6	310
2	9	296
3	12	292
4	15	288
5	18	289
6	22	293
7	25	288
8	27	282
9	31	282
10	34	282
11	38	279
12	41	279
13	45	280
14	49	279
15	52	278
16	56	277
17	59	273
18	63	270
19	67	269
20	71	267
21	74	264
22	78	261
23	82	261
24	86	259
25	89	254
26	92	250
27	96	247
28	99	243
29	103	240
30	106	237
31	109	233
32	113	231
33	117	227
34	121	225
35	124	221
36	128	218
37	131	214
38	134	209
39	137	205
40	140	202
41	145	200
42	148	196
43	151	192
44	154	189
45	158	185
46	161	181
47	164	177
48	167	174
49	170	170
50	174	167
51	177	163
52	180	159
53	183	156
54	186	152
55	189	148
56	192	145
57	195	141
58	198	137
59	201	134
60	204	130
61	207	127
62	210	123
63	213	120
64	216	116
65	220	113
66	223	110
67	226	106
68	229	103
69	233	100
70	236	96
71	239	93
72	243	90
73	246	86
74	249	83
75	252	79
76	255	76
77	258	72
78	261	69
79	264	66
80	267	62
81	270	59
82	273	55
83	276	52
84	279	49
85	281	45
86	284	42
87	287	39
88	290	35
89	293	32
90	296	29
91	299	26
92	302	22
93	305	19
94	308	16
95	312	13
96	315	9
97	318	6
98	321	3
99	323	0
